titre,date,lieu,url
Crossover Festival Nice 2026 : festival de musique,Jusqu'au 21/08/2026,Théâtre de Verdure - Nice,https://www.jds.fr/nice/manifestations/festival/crossover-festival-nice-171787_A
Candlelight : Coldplay & Imagine Dragons,30/07/2026 → 10/09/2026,Château de Cremat - Nice,https://www.jds.fr/nice/concerts/candlelight-coldplay-et-imagine-dragons-1505290_A
Candlelight Open Air : Disney Love Songs,Le 13/08/2026,Château de Cremat - Nice,https://www.jds.fr/nice/concerts/candlelight-open-air-disney-love-songs-1560134_A
Candlelight : Hommage à ABBA et plus encore,14/08/2026 → 04/12/2026,Château de Cremat - Nice,https://www.jds.fr/nice/concerts/candlelight-hommage-a-abba-et-plus-encore-1457521_A
Nice - Lorient (Football Ligue 1),Le 22/08/2026,Stade Allianz Riviera - Nice,https://www.jds.fr/nice/sports/matchs/nice-lorient-football-ligue-1-1637336_A
Candlelight : Les Quatre Saisons de Vivaldi,Le 05/09/2026,Westminster Hotel & Spa - Nice,https://www.jds.fr/nice/concerts/candlelight-les-quatre-saisons-de-vivaldi-1676304_A
Candlelight: Hommage à Charles Aznavour,05/09/2026 → 28/11/2026,Westminster Hotel & Spa - Nice,https://www.jds.fr/nice/concerts/candlelight-hommage-a-charles-aznavour-1676311_A
Nice - Le Mans (Football Ligue 1),Le 05/09/2026,Stade Allianz Riviera - Nice,https://www.jds.fr/nice/sports/matchs/nice-le-mans-football-ligue-1-1637355_A
DroneArt Show: Harry Potter™ à l'Hippodrome de la Côte d'Azur,10/09/2026 → 12/09/2026,Hippodrome de la Côte d'Azur - Cagnes-sur-Mer,https://www.jds.fr/nice/manifestations/festival/droneart-show-harry-potter-a-l-hippodrome-de-la-cote-d-azur-1602080_A
Candlelight : hommage à Hans Zimmer,11/09/2026 → 18/12/2026,Château de Cremat - Nice,https://www.jds.fr/nice/concerts/candlelight-hommage-a-hans-zimmer-1450442_A
The Jury Experience : Meurtre à un million de dollars ou toile de mensonges?,12/09/2026 → 23/01/2027,Casino Ruhl - Nice,https://www.jds.fr/nice/spectacles/theatre/the-jury-experience-meurtre-a-un-million-de-dollars-ou-toile-de-mensonges-1206408_A
Nice - Lille (Football Ligue 1),Le 19/09/2026,Stade Allianz Riviera - Nice,https://www.jds.fr/nice/sports/matchs/nice-lille-football-ligue-1-1637375_A
Ultra Trail Nice Côte d'Azur 2026,24/09/2026 → 27/09/2026,Palais Nikaïa - Nice,https://www.jds.fr/nice/sports/ultra-trail-nice-cote-d-azur-2026-1601397_A
Djadja & Dinaz - Tournée,Nice,Palais Nikaïa - Nice,https://www.jds.fr/nice/concerts/rap/djadja-et-dinaz-tournee-1082627_A
La Dame de Pierre - Tournée,Le 03/10/2026,Stade Allianz Riviera - Nice,https://www.jds.fr/nice/spectacles/la-dame-de-pierre-tournee-1266214_A
Nice - Strasbourg (Football Ligue 1),Le 10/10/2026,Théâtre de la Cité - Nice,https://www.jds.fr/nice/sports/matchs/nice-strasbourg-football-ligue-1-1637383_A
The Jazz Room : un hommage à Frank Sinatra et à Louis Armstrong,Le 10/10/2026,Westminster Hotel & Spa - Nice,https://www.jds.fr/nice/spectacles/theatre/the-jazz-room-un-hommage-a-frank-sinatra-et-a-louis-armstrong-1529837_A
Candlelight : Coldplay & Imagine Dragons,Le 11/10/2026,Palais Nikaïa - Nice,https://www.jds.fr/nice/concerts/candlelight-coldplay-et-imagine-dragons-1676310_A
Legend Tour By Trade Republic - du Podcast au Show - Tournée,17/10/2026 → 18/12/2026,Palais Nikaïa - Nice,https://www.jds.fr/nice/spectacles/humour/legend-tour-by-trade-republic-du-podcast-au-show-tournee-1310283_A
Laura Pausini - Io Canto World Tour,Le 27/10/2026,Stade Allianz Riviera - Nice,https://www.jds.fr/nice/concerts/pop-folk/laura-pausini-io-canto-world-tour-1164314_A
Nice - Rennes (Football Ligue 1),Le 30/10/2026,Palais Nikaïa - Nice,https://www.jds.fr/nice/sports/matchs/nice-rennes-football-ligue-1-1637411_A
Patrick Bruel - Alors Regarde 35,Le 31/10/2026,Palais Nikaïa - Nice,https://www.jds.fr/nice/concerts/chanson-francaise/patrick-bruel-alors-regarde-35-1362227_A
Bigflo & Oli - Karma Tour,Le 31/10/2026,Château de Cremat - Nice,https://www.jds.fr/nice/concerts/rap/bigflo-et-oli-karma-tour-1380651_A
Candlelight Open Air : hommage à Queen,Le 05/11/2026,,https://www.jds.fr/nice/concerts/candlelight-open-air-hommage-a-queen-1650141_A
Marathon des Alpes-Maritimes Nice-Cannes 2026,Le 07/11/2026,,https://www.jds.fr/nice/sports/courses/marathon-des-alpes-maritimes-nice-cannes-1275968_A
